symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
ARVN,555366.0,821271.6666666666,670224.6,503146.86666666664,404654.06666666665
DLA,16882.0,17032.666666666668,17017.8,19367.2,19211.966666666667
ELC,22438.0,10499.333333333334,85526.8,36741.933333333334,34580.2
DSEP,28450.0,13707.666666666666,8958.4,6728.933333333333,6029.333333333333
FOMO,882.0,1454.6666666666667,1169.2,1839.8,2460.633333333333
CSBR,10678.0,5012.666666666667,5330.0,7865.933333333333,7679.6
KTBw,225246.0,86232.33333333333,54167.2,40857.22222222222,40857.22222222222
HCXY,2235.0,2183.3333333333335,1882.8,1543.9333333333334,1699.4333333333334
HMY,5882389.0,7755581.0,7776659.2,6080863.6,5985539.033333333
MGV,105516.0,159779.66666666666,187993.0,164584.86666666667,137681.0
JPUS,13124.0,17279.333333333332,21467.0,25000.6,38664.3
LSXMK,683108.0,912810.6666666666,1389548.6,1018587.0,836638.6
USB-A,377.0,449.6666666666667,506.2,815.5333333333333,811.5
