symbol,today_change,today_change_by_%,today_to_yesterday_change,today_to_yesterday_change_by_%,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
FOCT,0.14000000000000057,0.4042737510828777,0.28000000000000114,0.8118295158016849,43259.0,21624.333333333332,22676.0,35575.0,50652.86666666667
HRMY,0.7600000000000051,2.1312394840157185,0.8400000000000034,2.3608768971332306,246448.0,275412.6666666667,337689.6,296808.4666666667,312526.8333333333
PWSC,-0.20000000000000284,-0.9741841207988446,-0.030000000000001137,-0.147347740667982,564378.0,471233.3333333333,717404.6,702827.9333333333,638613.7333333333
IBDP,-0.03999999999999915,-0.15414258188824337,-0.03999999999999915,-0.15414258188824337,178650.0,187902.66666666666,178305.2,146651.8,172311.9
SWAGW,0.010000000000000009,1.7241379310344844,-0.017100000000000004,-2.8166694119584923,2909.0,4728.333333333333,8497.4,21328.333333333332,30322.7
GROY+,0.00999899999999998,1.0203061224489776,-1.0000000000287557e-06,-0.00010101010101300563,21104.0,16711.0,24525.6,11217.533333333333,13148.166666666666
FUMB,-0.013300000000000978,-0.06599415480343654,-0.00999999999999801,-0.04962779156326557,36357.0,54482.333333333336,42957.0,65958.86666666667,52544.566666666666
NNDM,0.1299999999999999,3.0952380952380927,0.08999999999999986,2.122641509433959,10216865.0,8386022.0,7739714.0,8218091.0,8119693.1
IMRNW,0.17989999999999995,23.986666666666657,0.17989999999999995,23.986666666666657,350.0,951.6666666666666,1228.2,1016.4666666666667,2591.4
GXTG,0.45000000000000284,0.998225377107371,0.5700000000000003,1.2677935943060503,13991.0,34777.666666666664,26660.2,21796.866666666665,18102.666666666668
CIL,0.22589999999999577,0.5177630071051932,0.5259,1.2137087468266792,921.0,6523.333333333333,4283.6,2236.133333333333,1742.6
IKT,-0.07000000000000006,-4.320987654320991,-0.09999999999999987,-6.0606060606060534,305931.0,445757.0,533496.0,534885.8666666667,382747.6666666667
TWOA,-0.009999999999999787,-0.10224948875255406,0.009999999999999787,0.10245901639344043,86932.0,35897.333333333336,23336.0,23019.533333333333,20720.2
PBHC,0.05000000000000071,0.29498525073746734,0.06500000000000128,0.3838204901092488,24420.0,10005.333333333334,7455.0,5522.533333333334,3970.6
AFACU,0.0,0.0,0.030000000000001137,0.29673590504452163,606.0,78602.0,52567.4,28959.533333333333,629206.1764705882
QCLR,0.24629999999999797,0.9655037240297842,0.10940000000000083,0.4265622745828963,1696.0,2355.0,1681.2,1311.4666666666667,999.1
MMX,0.009999999999999787,0.2272727272727224,0.009999999999999787,0.2272727272727224,119698.0,128369.66666666667,140852.2,114065.0,103036.86666666667
ERC,-0.059800000000000963,-0.45166163141994686,0.01019999999999932,0.07744874715261443,47585.0,58047.666666666664,58783.6,59436.333333333336,68341.53333333334
PXE,0.23999999999999844,1.246105919003107,0.5399999999999991,2.84810126582278,177280.0,141865.33333333334,113615.2,123713.53333333334,144164.56666666668
OBNK,0.14999999999999858,0.34506556245686354,0.7299999999999969,1.7020284448589342,51553.0,49052.0,48372.0,51993.13333333333,49441.566666666666
CSWI,-2.4200000000000017,-1.9514555277800192,-1.0600000000000023,-0.8642478597635567,42356.0,41547.0,53653.6,39833.666666666664,38226.1
FLGT,0.9399999999999977,1.160493827160491,0.14000000000000057,0.17114914425427943,450397.0,464862.6666666667,605697.4,558297.7333333333,481381.4666666667
DECK,-8.019999999999982,-2.0371875635033483,-4.439999999999998,-1.1381697000769027,325482.0,384471.6666666667,413177.2,347481.4666666667,432981.4
CHN,0.23999999999999844,0.9441384736427947,0.10000000000000142,0.39123630672927,13099.0,27934.333333333332,21063.8,18582.4,20775.833333333332
OXLCL,-0.019999999999999574,-0.07604562737642423,-0.028299999999997993,-0.10757061459690666,14297.0,6390.0,6936.0,4530.4,3613.766666666667
ARVN,1.4300000000000068,1.9267043923470857,1.210000000000008,1.62547017732403,555366.0,821271.6666666666,670224.6,503146.86666666664,404654.06666666665
DLA,0.46000000000000085,1.6112084063047316,0.490000000000002,1.7180925666199227,16882.0,17032.666666666668,17017.8,19367.2,19211.966666666667
ELC,-0.04210000000000136,-0.1662717219589311,-0.012100000000000222,-0.04784499802293485,22438.0,10499.333333333334,85526.8,36741.933333333334,34580.2
FOMO,0.04899999999999949,0.21129797326433583,-0.043199999999998795,-0.18554947556501875,882.0,1454.6666666666667,1169.2,1839.8,2460.633333333333
AMD,-2.0749999999999886,-1.4702235448329535,-4.949999999999989,-3.437261301298513,66776493.0,62949245.666666664,65643080.2,57752289.266666666,64450104.9
PIPP,0.08000000000000007,0.8016032064128262,0.009999999999999787,0.09950248756218692,136341.0,189582.66666666666,202509.8,826836.0,455556.9666666667
CSBR,-0.20000000000000107,-2.433090024330913,-0.120000000000001,-1.4742014742014864,10678.0,5012.666666666667,5330.0,7865.933333333333,7679.6
DSEP,0.10900000000000176,0.33486943164363064,0.2055999999999969,0.63352376022234,28450.0,13707.666666666666,8958.4,6728.933333333333,6029.333333333333
MGV,0.3100000000000023,0.30211480362537985,1.2000000000000028,1.179709005112075,105516.0,159779.66666666666,187993.0,164584.86666666667,137681.0
HCXY,-0.20000000000000284,-0.7518796992481309,0.03999999999999915,0.1517450682852775,2235.0,2183.3333333333335,1882.8,1543.9333333333334,1699.4333333333334
JPUS,0.3299999999999983,0.32502708559046417,1.1799999999999926,1.1720301946761944,13124.0,17279.333333333332,21467.0,25000.6,38664.3
MEKA,-0.22000000000000064,-1.7614091273018468,0.16999999999999993,1.4049586776859497,26310.0,36317.333333333336,40482.2,64632.53333333333,61504.63333333333
FCAX.U,0.019999999999999574,0.20161290322580216,0.0,0.0,6010.0,7180.666666666667,4908.4,45086.933333333334,29286.9
FTVIW,0.0,0.0,0.010000000000000009,1.0000000000000009,900.0,9666.666666666666,13142.6,12526.333333333334,16189.933333333332
PTBD,0.16999999999999815,0.640301318267413,0.07000000000000028,0.26266416510319057,489181.0,430551.3333333333,470459.2,341152.26666666666,294138.73333333334
LSXMK,1.2199999999999989,2.5170208376315224,1.4699999999999989,3.048527581916215,683108.0,912810.6666666666,1389548.6,1018587.0,836638.6
DFSD,-0.054999999999999716,-0.10984621529858142,-0.07059999999999889,-0.14095867874199147,35435.0,1454596.6666666667,1807205.0,693324.1428571428,693324.1428571428
TWST,-1.6500000000000057,-2.0335223071234974,-1.6500000000000057,-2.0335223071234974,988243.0,850898.6666666666,756387.0,768223.9333333333,565560.5666666667
SCZ,0.1599999999999966,0.2228101935663509,0.1700000000000017,0.23676880222841465,1026071.0,1419341.3333333333,1670379.6,1270984.4,1216987.6333333333
GAIN,-0.10999999999999943,-0.6670709520921737,0.00999999999999801,0.06108735491751992,127334.0,120059.0,116728.6,122059.73333333334,118263.16666666667
